ECO_ID,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM,COLOR,COLOR_BIO,UNIQUE_ECOREGION_COLOR
293,East Deccan dry-evergreen forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,#AEFA40,#CCCD65,#A4B946
294,Irrawaddy dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,#98B414,#CCCD65,#E4CC80
295,Khathiar-Gir dry deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,#85D60B,#CCCD65,#ADB448
296,Narmada Valley dry deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,#9EED42,#CCCD65,#DFBF83
297,North Deccan dry deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,#9CD940,#CCCD65,#AFAB4A
298,South Deccan Plateau dry deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,#98FA05,#CCCD65,#C3DA85
299,Southeast Indochina dry evergreen forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,#BCD72A,#CCCD65,#AA9C4C
300,Southern Vietnam lowland dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,#8DC138,#CCCD65,#C9D587
301,Sri Lanka dry-zone dry evergreen forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,#B5E00A,#CCCD65,#A58E4E
302,Himalayan subtropical pine forests,3,Tropical & Subtropical Coniferous Forests,Indomalayan,#11A655,#88CE66,#9FD18A
303,Luzon tropical pine forests,3,Tropical & Subtropical Coniferous Forests,Indomalayan,#00734C,#88CE66,#50A151
304,Northeast India-Myanmar pine forests,3,Tropical & Subtropical Coniferous Forests,Indomalayan,#50AA60,#88CE66,#7BCC44
305,Sumatran tropical pine forests,3,Tropical & Subtropical Coniferous Forests,Indomalayan,#4BD671,#88CE66,#8BF67F
306,Eastern Himalayan broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Indomalayan,#267300,#00734C,#006C33
307,Northern Triangle temperate forests,4,Temperate Broadleaf & Mixed Forests,Indomalayan,#71C668,#00734C,#079676
308,Western Himalayan broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Indomalayan,#57E843,#00734C,#006725
309,Eastern Himalayan subalpine conifer forests,5,Temperate Conifer Forests,Indomalayan,#92BA71,#458970,#60A78D
310,Western Himalayan subalpine conifer forests,5,Temperate Conifer Forests,Indomalayan,#00734C,#458970,#317873
311,Terai-Duar savanna and grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Indomalayan,#FCD844,#FEAA01,#FF9A19
312,Rann of Kutch seasonal salt marsh,9,Flooded Grasslands & Savannas,Indomalayan,#72C5F7,#BEE7FF,#9DBEE9
313,Kinabalu montane alpine meadows,10,Montane Grasslands & Shrublands,Indomalayan,#C48832,#D6C39D,#EAD0BB
314,Aravalli west thorn scrub forests,13,Deserts & Xeric Shrublands,Indomalayan,#E67938,#CC6767,#B15951
315,Deccan thorn scrub forests,13,Deserts & Xeric Shrublands,Indomalayan,#C9A63E,#CC6767,#DB8DA7
316,Godavari-Krishna mangroves,13,Deserts & Xeric Shrublands,Indomalayan,#E600AA,#CC6767,#AC5255
317,Indus Valley desert,13,Deserts & Xeric Shrublands,Indomalayan,#FDA87F,#CC6767,#D6A28F
318,Thar desert,13,Deserts & Xeric Shrublands,Indomalayan,#CFA149,#CC6767,#A7545F
319,Indochina mangroves,14,Mangroves,Indomalayan,#E600AA,#FE01C4,#FF009A
320,Indus River Delta-Arabian Sea mangroves,14,Mangroves,Indomalayan,#E600AA,#FE01C4,#D005D4
321,Myanmar Coast mangroves,14,Mangroves,Indomalayan,#E600AA,#FE01C4,#F400E6
322,Sunda Shelf mangroves,14,Mangroves,Indomalayan,#E600AA,#FE01C4,#DF0CFF
323,Sundarbans mangroves,14,Mangroves,Indomalayan,#E600AA,#FE01C4,#F400E5
324,Sonoran-Sinaloan subtropical dry forest,2,Tropical & Subtropical Dry Broadleaf Forests,Nearctic,#B0F21F,#CCCD65,#D6F287
325,Bermuda subtropical conifer forests,3,Tropical & Subtropical Coniferous Forests,Nearctic,#62A67D,#88CE66,#88C44E
326,Sierra Madre Occidental pine-oak forests,3,Tropical & Subtropical Coniferous Forests,Nearctic,#1EAB3B,#88CE66,#9EEE8B
327,Sierra Madre Oriental pine-oak forests,3,Tropical & Subtropical Coniferous Forests,Nearctic,#00734C,#88CE66,#93BF50
328,Allegheny Highlands forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#C8EBB1,#00734C,#108E67
329,Appalachian mixed mesophytic forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#54FA42,#00734C,#005F5E
330,Appalachian Piedmont forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#4EAD37,#00734C,#138957
331,Appalachian-Blue Ridge forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#00734C,#00734C,#005A4F
332,East Central Texas forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#38A700,#00734C,#158449
333,Eastern Canadian Forest-Boreal transition,4,Temperate Broadleaf & Mixed Forests,Nearctic,#73FA60,#00734C,#005542
334,Eastern Great Lakes lowland forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#8CED84,#00734C,#007F2D
335,Gulf of St. Lawrence lowland forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#93CF6D,#00734C,#015035
336,Interior Plateau US Hardwood Forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#8EBD6D,#00734C,#007A76
337,Mississippi lowland forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#88F54C,#00734C,#034B2B
338,New England-Acadian forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#5DA655,#00734C,#007564
339,Northeast US Coastal forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#38A700,#00734C,#0AA04B
340,Ozark Highlands mixed forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#ACF081,#00734C,#006635
341,Ozark Mountain forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#6FE843,#00734C,#0D9B3B
342,Southern Great Lakes forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#87C477,#00734C,#006127
343,Upper Midwest US forest-savanna transition,4,Temperate Broadleaf & Mixed Forests,Nearctic,#69BD34,#00734C,#10968D
344,Western Great Lakes forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,#73DA64,#00734C,#006128
345,Alberta-British Columbia foothills forests,5,Temperate Conifer Forests,Nearctic,#5DAD4C,#458970,#6AA79A
346,Arizona Mountains forests,5,Temperate Conifer Forests,Nearctic,#4DE04A,#458970,#387750
347,Atlantic coastal pine barrens,5,Temperate Conifer Forests,Nearctic,#035701,#458970,#6BA290
348,Blue Mountains forests,5,Temperate Conifer Forests,Nearctic,#35A85A,#458970,#397272
349,British Columbia coastal conifer forests,5,Temperate Conifer Forests,Nearctic,#00A884,#458970,#349D70
350,Central British Columbia Mountain forests,5,Temperate Conifer Forests,Nearctic,#4CD970,#458970,#396D67
351,Central Pacific Northwest coastal forests,5,Temperate Conifer Forests,Nearctic,#85DE74,#458970,#369863
352,Central-Southern Cascades Forests,5,Temperate Conifer Forests,Nearctic,#439952,#458970,#39695D
353,Colorado Rockies forests,5,Temperate Conifer Forests,Nearctic,#6C9B53,#458970,#379357
354,Eastern Cascades forests,5,Temperate Conifer Forests,Nearctic,#A6E067,#458970,#386455
355,Fraser Plateau and Basin conifer forests,5,Temperate Conifer Forests,Nearctic,#5ABD7A,#458970,#398E8A
356,Great Basin montane forests,5,Temperate Conifer Forests,Nearctic,#00734C,#458970,#385F4D
357,Klamath-Siskiyou forests,5,Temperate Conifer Forests,Nearctic,#7FBF4F,#458970,#3A897D
358,North Cascades conifer forests,5,Temperate Conifer Forests,Nearctic,#90A34A,#458970,#6DB38B
359,Northern California coastal forests,5,Temperate Conifer Forests,Nearctic,#00734C,#458970,#3C7F66
360,Northern Pacific Alaskan coastal forests,5,Temperate Conifer Forests,Nearctic,#AECF64,#458970,#6EAE83
361,Northern Rockies conifer forests,5,Temperate Conifer Forests,Nearctic,#ACC13E,#458970,#3C7A5C
362,Okanogan dry forests,5,Temperate Conifer Forests,Nearctic,#6BE381,#458970,#6FA9A5
363,Piney Woods,5,Temperate Conifer Forests,Nearctic,#4DDE5D,#458970,#3C7553
364,Puget lowland forests,5,Temperate Conifer Forests,Nearctic,#00734C,#458970,#36A490
365,Queen Charlotte Islands conifer forests,5,Temperate Conifer Forests,Nearctic,#64DB5D,#458970,#3C704B
366,Sierra Nevada forests,5,Temperate Conifer Forests,Nearctic,#499964,#458970,#389F81
367,South Central Rockies forests,5,Temperate Conifer Forests,Nearctic,#058047,#458970,#3C6B66
368,Wasatch and Uinta montane forests,5,Temperate Conifer Forests,Nearctic,#38A700,#458970,#3A9A73
369,Alaska Peninsula montane taiga,6,Boreal Forests/Taiga,Nearctic,#E2C7FA,#7AB6F5,#778CD7
370,Central Canadian Shield forests,6,Boreal Forests/Taiga,Nearctic,#7A3CF9,#7AB6F5,#64C6FF
371,Cook Inlet taiga,6,Boreal Forests/Taiga,Nearctic,#9D83C4,#7AB6F5,#7997D2
